	E-Name	E-Start	E-End	E-Type
0	头晕	1	2	Sy
1	椎基底动脉	6	10	Bo
2	高血压	21	23	Si
3	头晕	49	50	Sy
4	恶心	52	53	Sy
5	头痛	75	76	Sy
6	恶心	78	79	Sy
7	中药	85	86	Tr
8	左侧面部	104	107	Bo
9	麻木	108	109	Sy
10	高血压	137	139	Si
11	查体	177	178	Ch
12	T	180	180	Ch
13	P	188	188	Ch
14	呼吸	196	197	Ch
15	血压	205	206	Ch
16	双侧瞳孔	229	232	Bo
17	对光反射	246	249	Ch
18	双眼	253	254	Bo
19	双侧鼻唇沟	263	267	Bo
20	舌	289	289	Bo
21	四肢	300	301	Bo
22	肌力	302	303	Ch
23	四肢	307	308	Bo
24	肌张力	309	311	Ch
25	四肢腱反射	317	321	Bo
26	双侧肢体痛	334	338	Bo
27	触觉、关节	342	346	Ch
28	双肺	359	360	Bo
29	呼吸音	361	363	Ch
30	双肺	366	367	Bo
31	干湿性啰音	371	375	Ch
32	心率	377	378	Ch
33	律齐	386	387	Sy
34	各瓣膜听诊区	389	394	Bo
35	病理性杂音	398	402	Ch
36	压痛	409	410	Ch
37	肝	412	412	Bo
38	脾	413	413	Bo
39	双下肢	417	419	Bo
40	水肿	421	422	Sy
41	头CT	442	444	Ch
42	大脑纵裂脂肪瘤	448	454	Si
43	心电图	457	459	Ch
