# 0.000976
①	OTHER	O/0.944913	Bo-B/0.006526	Bo-I/0.006098	Ch-B/0.005691	Ch-I/0.003847	DT-B/0.001284	DT-I/0.001297	O/0.944913	Si-B/0.002545	Si-I/0.001000	Sy-B/0.008803	Sy-I/0.011777	Tr-B/0.001827	Tr-I/0.001805	unct-B/0.001245	unct-I/0.001342
头	CHN	Sy-B/0.555342	Bo-B/0.002986	Bo-I/0.010827	Ch-B/0.009047	Ch-I/0.008029	DT-B/0.000175	DT-I/0.000318	O/0.379279	Si-B/0.009138	Si-I/0.001996	Sy-B/0.555342	Sy-I/0.018832	Tr-B/0.001757	Tr-I/0.001613	unct-B/0.000220	unct-I/0.000441
晕	CHN	Sy-I/0.572613	Bo-B/0.000049	Bo-I/0.011372	Ch-B/0.000080	Ch-I/0.015737	DT-B/0.000024	DT-I/0.000430	O/0.386095	Si-B/0.000063	Si-I/0.009891	Sy-B/0.000028	Sy-I/0.572613	Tr-B/0.000097	Tr-I/0.002981	unct-B/0.000031	unct-I/0.000508
查	CHN	O/0.982841	Bo-B/0.000050	Bo-I/0.000161	Ch-B/0.000048	Ch-I/0.003289	DT-B/0.000010	DT-I/0.000187	O/0.982841	Si-B/0.000014	Si-I/0.004207	Sy-B/0.000081	Sy-I/0.007927	Tr-B/0.000093	Tr-I/0.000920	unct-B/0.000012	unct-I/0.000162
因	CHN	O/0.986182	Bo-B/0.000016	Bo-I/0.000100	Ch-B/0.000142	Ch-I/0.002638	DT-B/0.000009	DT-I/0.000153	O/0.986182	Si-B/0.000014	Si-I/0.003983	Sy-B/0.000048	Sy-I/0.005651	Tr-B/0.000018	Tr-I/0.000894	unct-B/0.000008	unct-I/0.000143
:	PUNC	O/0.999642	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000001	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999642	Si-B/0.000086	Si-I/0.000216	Sy-B/0.000018	Sy-I/0.000034	Tr-B/0.000000	Tr-I/0.000001	unct-B/0.000000	unct-I/0.000001
椎	CHN	Si-B/0.694078	Bo-B/0.015758	Bo-I/0.000039	Ch-B/0.019600	Ch-I/0.000030	DT-B/0.001672	DT-I/0.000053	O/0.065901	Si-B/0.694078	Si-I/0.003638	Sy-B/0.185977	Sy-I/0.000237	Tr-B/0.009041	Tr-I/0.000019	unct-B/0.003916	unct-I/0.000041
基	CHN	Si-I/0.708987	Bo-B/0.000238	Bo-I/0.012673	Ch-B/0.000198	Ch-I/0.017171	DT-B/0.000029	DT-I/0.000438	O/0.051066	Si-B/0.010881	Si-I/0.708987	Sy-B/0.004897	Sy-I/0.185691	Tr-B/0.000294	Tr-I/0.005923	unct-B/0.000071	unct-I/0.001444
底	CHN	Si-I/0.724198	Bo-B/0.000419	Bo-I/0.012109	Ch-B/0.000207	Ch-I/0.014719	DT-B/0.000023	DT-I/0.000225	O/0.032481	Si-B/0.011599	Si-I/0.724198	Sy-B/0.007923	Sy-I/0.190438	Tr-B/0.000245	Tr-I/0.004393	unct-B/0.000068	unct-I/0.000953
动	CHN	Si-I/0.739346	Bo-B/0.000184	Bo-I/0.012308	Ch-B/0.000607	Ch-I/0.013142	DT-B/0.000020	DT-I/0.000134	O/0.019793	Si-B/0.008587	Si-I/0.739346	Sy-B/0.002914	Sy-I/0.198491	Tr-B/0.000435	Tr-I/0.003293	unct-B/0.000055	unct-I/0.000690
脉	CHN	Si-I/0.750243	Bo-B/0.000022	Bo-I/0.012088	Ch-B/0.000614	Ch-I/0.012506	DT-B/0.000012	DT-I/0.000114	O/0.014276	Si-B/0.004128	Si-I/0.750243	Sy-B/0.001162	Sy-I/0.200770	Tr-B/0.000242	Tr-I/0.003195	unct-B/0.000040	unct-I/0.000588
