# 0.036993
今	CHN	OTHER	t-B	O/0.918511	Bo-B/0.000739	Bo-I/0.002628	Ch-B/0.000341	Ch-I/0.005679	DT-B/0.004695	DT-I/0.003514	O/0.918511	Si-B/0.049619	Si-I/0.006761	Sy-B/0.001376	Sy-I/0.002136	Tr-B/0.001106	Tr-I/0.001780	unct-B/0.000604	unct-I/0.000510
日	CHN	OTHER	t-I	O/0.938463	Bo-B/0.000015	Bo-I/0.001641	Ch-B/0.000022	Ch-I/0.002269	DT-B/0.000043	DT-I/0.003416	O/0.938463	Si-B/0.000041	Si-I/0.049371	Sy-B/0.000064	Sy-I/0.002964	Tr-B/0.000081	Tr-I/0.001418	unct-B/0.000024	unct-I/0.000167
查	CHN	OTHER	v-B	O/0.959034	Bo-B/0.000004	Bo-I/0.000024	Ch-B/0.000006	Ch-I/0.000117	DT-B/0.000002	DT-I/0.000179	O/0.959034	Si-B/0.000009	Si-I/0.037700	Sy-B/0.000325	Sy-I/0.002243	Tr-B/0.000033	Tr-I/0.000286	unct-B/0.000001	unct-I/0.000036
房	CHN	OTHER	v-I	O/0.959806	Bo-B/0.000006	Bo-I/0.000022	Ch-B/0.000017	Ch-I/0.000108	DT-B/0.000010	DT-I/0.000080	O/0.959806	Si-B/0.000005	Si-I/0.036685	Sy-B/0.000021	Sy-I/0.002860	Tr-B/0.000020	Tr-I/0.000310	unct-B/0.000005	unct-I/0.000045
,	PUNC	OTHER	x-B	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
患	CHN	OTHER	n-B	O/0.997751	Bo-B/0.000382	Bo-I/0.000002	Ch-B/0.000681	Ch-I/0.000002	DT-B/0.000011	DT-I/0.000001	O/0.997751	Si-B/0.000545	Si-I/0.000003	Sy-B/0.000457	Sy-I/0.000002	Tr-B/0.000143	Tr-I/0.000001	unct-B/0.000018	unct-I/0.000001
者	CHN	OTHER	n-I	O/0.997200	Bo-B/0.000016	Bo-I/0.000398	Ch-B/0.000019	Ch-I/0.000702	DT-B/0.000002	DT-I/0.000017	O/0.997200	Si-B/0.000079	Si-I/0.000642	Sy-B/0.000144	Sy-I/0.000504	Tr-B/0.000040	Tr-I/0.000190	unct-B/0.000002	unct-I/0.000045
精	CHN	PART_UNIT	n-B	O/0.922626	Bo-B/0.001101	Bo-I/0.000735	Ch-B/0.001200	Ch-I/0.000917	DT-B/0.000012	DT-I/0.000084	O/0.922626	Si-B/0.002141	Si-I/0.001280	Sy-B/0.065555	Sy-I/0.000939	Tr-B/0.002414	Tr-I/0.000504	unct-B/0.000094	unct-I/0.000397
神	CHN	OTHER	n-I	O/0.919720	Bo-B/0.000017	Bo-I/0.002092	Ch-B/0.000013	Ch-I/0.002450	DT-B/0.000021	DT-I/0.000170	O/0.919720	Si-B/0.000019	Si-I/0.004348	Sy-B/0.000023	Sy-I/0.066981	Tr-B/0.000121	Tr-I/0.003420	unct-B/0.000015	unct-I/0.000592
、	PUNC	OTHER	x-B	O/0.999994	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999994	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000005	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
饮	CHN	OTHER	n-B	O/0.662216	Bo-B/0.053713	Bo-I/0.000072	Ch-B/0.009963	Ch-I/0.000042	DT-B/0.000653	DT-I/0.000089	O/0.662216	Si-B/0.009819	Si-I/0.000068	Sy-B/0.166511	Sy-I/0.000107	Tr-B/0.095913	Tr-I/0.000239	unct-B/0.000504	unct-I/0.000091
食	CHN	OTHER	n-I	O/0.662588	Bo-B/0.000019	Bo-I/0.052010	Ch-B/0.000037	Ch-I/0.009564	DT-B/0.000049	DT-I/0.000946	O/0.662588	Si-B/0.000025	Si-I/0.010388	Sy-B/0.000021	Sy-I/0.167022	Tr-B/0.000074	Tr-I/0.096348	unct-B/0.000026	unct-I/0.000885
、	PUNC	OTHER	x-B	O/0.999991	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999991	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000008	Tr-B/0.000000	Tr-I/0.000001	unct-B/0.000000	unct-I/0.000000
睡	CHN	OTHER	v-B	O/0.904495	Bo-B/0.000377	Bo-I/0.000003	Ch-B/0.002970	Ch-I/0.000002	DT-B/0.000088	DT-I/0.000013	O/0.904495	Si-B/0.000331	Si-I/0.000003	Sy-B/0.086623	Sy-I/0.000056	Tr-B/0.004965	Tr-I/0.000022	unct-B/0.000046	unct-I/0.000006
眠	CHN	OTHER	v-I	O/0.905718	Bo-B/0.000017	Bo-I/0.000308	Ch-B/0.000009	Ch-I/0.002249	DT-B/0.000010	DT-I/0.000110	O/0.905718	Si-B/0.000004	Si-I/0.000271	Sy-B/0.000102	Sy-I/0.086260	Tr-B/0.000065	Tr-I/0.004812	unct-B/0.000006	unct-I/0.000058
可	CHN	OTHER	v-B	O/0.924115	Bo-B/0.000006	Bo-I/0.000078	Ch-B/0.000022	Ch-I/0.000367	DT-B/0.000008	DT-I/0.000134	O/0.924115	Si-B/0.000003	Si-I/0.000212	Sy-B/0.000009	Sy-I/0.072572	Tr-B/0.000070	Tr-I/0.002308	unct-B/0.000005	unct-I/0.000091
,	PUNC	OTHER	x-B	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
二	CHN	OTHER	m-B	O/0.999705	Bo-B/0.000065	Bo-I/0.000000	Ch-B/0.000072	Ch-I/0.000003	DT-B/0.000020	DT-I/0.000001	O/0.999705	Si-B/0.000038	Si-I/0.000000	Sy-B/0.000050	Sy-I/0.000000	Tr-B/0.000036	Tr-I/0.000001	unct-B/0.000009	unct-I/0.000000
便	CHN	OTHER	d-B	O/0.999817	Bo-B/0.000002	Bo-I/0.000018	Ch-B/0.000004	Ch-I/0.000059	DT-B/0.000007	DT-I/0.000006	O/0.999817	Si-B/0.000004	Si-I/0.000012	Sy-B/0.000009	Sy-I/0.000028	Tr-B/0.000012	Tr-I/0.000017	unct-B/0.000002	unct-I/0.000004
正	CHN	OTHER	d-B	O/0.999991	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999991	Si-B/0.000000	Si-I/0.000002	Sy-B/0.000003	Sy-I/0.000002	Tr-B/0.000001	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
常	CHN	OTHER	d-I	O/0.999921	Bo-B/0.000002	Bo-I/0.000001	Ch-B/0.000002	Ch-I/0.000002	DT-B/0.000002	DT-I/0.000006	O/0.999921	Si-B/0.000001	Si-I/0.000019	Sy-B/0.000007	Sy-I/0.000020	Tr-B/0.000007	Tr-I/0.000004	unct-B/0.000001	unct-I/0.000004
,	PUNC	OTHER	x-B	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
自	CHN	OTHER	v-B	O/0.985382	Bo-B/0.000819	Bo-I/0.000003	Ch-B/0.003226	Ch-I/0.000002	DT-B/0.000028	DT-I/0.000005	O/0.985382	Si-B/0.000106	Si-I/0.000001	Sy-B/0.009724	Sy-I/0.000026	Tr-B/0.000641	Tr-I/0.000006	unct-B/0.000028	unct-I/0.000003
诉	CHN	OTHER	v-I	O/0.983155	Bo-B/0.000010	Bo-I/0.000790	Ch-B/0.000018	Ch-I/0.002728	DT-B/0.000019	DT-I/0.000057	O/0.983155	Si-B/0.000026	Si-I/0.000078	Sy-B/0.002093	Sy-I/0.010081	Tr-B/0.000222	Tr-I/0.000659	unct-B/0.000016	unct-I/0.000048
右	CHN	SITE_UNIT	n-B	Sy-B/0.976229	Bo-B/0.000237	Bo-I/0.000160	Ch-B/0.000420	Ch-I/0.000410	DT-B/0.000019	DT-I/0.000048	O/0.007758	Si-B/0.000713	Si-I/0.000013	Sy-B/0.976229	Sy-I/0.013515	Tr-B/0.000321	Tr-I/0.000050	unct-B/0.000040	unct-I/0.000067
膝	CHN	PART_UNIT	n-I	Sy-I/0.993454	Bo-B/0.000028	Bo-I/0.000331	Ch-B/0.000002	Ch-I/0.000295	DT-B/0.000003	DT-I/0.000019	O/0.001950	Si-B/0.000005	Si-I/0.000094	Sy-B/0.003662	Sy-I/0.993454	Tr-B/0.000042	Tr-I/0.000038	unct-B/0.000006	unct-I/0.000072
内	CHN	SITE_UNIT	f-B	Sy-I/0.997457	Bo-B/0.000001	Bo-I/0.000211	Ch-B/0.000002	Ch-I/0.000020	DT-B/0.000002	DT-I/0.000007	O/0.000089	Si-B/0.000008	Si-I/0.000018	Sy-B/0.002159	Sy-I/0.997457	Tr-B/0.000010	Tr-I/0.000007	unct-B/0.000002	unct-I/0.000008
