# 0.040369
①	OTHER	OTHER	x-B	O/0.999075	Bo-B/0.000026	Bo-I/0.000066	Ch-B/0.000057	Ch-I/0.000010	O/0.999075	Si-B/0.000046	Si-I/0.000037	Sy-B/0.000613	Sy-I/0.000033	Tr-B/0.000020	Tr-I/0.000017
头	CHN	PART_UNIT	n-B	Sy-B/0.874054	Bo-B/0.000596	Bo-I/0.000054	Ch-B/0.002107	Ch-I/0.000025	O/0.122848	Si-B/0.000122	Si-I/0.000002	Sy-B/0.874054	Sy-I/0.000002	Tr-B/0.000190	Tr-I/0.000001
晕	CHN	OTHER	n-I	Sy-I/0.873748	Bo-B/0.000000	Bo-I/0.000167	Ch-B/0.000002	Ch-I/0.002123	O/0.123684	Si-B/0.000000	Si-I/0.000108	Sy-B/0.000025	Sy-I/0.873748	Tr-B/0.000000	Tr-I/0.000143
查	CHN	OTHER	nr-B	O/0.964863	Bo-B/0.000014	Bo-I/0.000001	Ch-B/0.000153	Ch-I/0.002146	O/0.964863	Si-B/0.000004	Si-I/0.000024	Sy-B/0.001508	Sy-I/0.030965	Tr-B/0.000022	Tr-I/0.000300
因	CHN	BREAK_UNIT	nr-I	O/0.998142	Bo-B/0.000000	Bo-I/0.000002	Ch-B/0.000002	Ch-I/0.000520	O/0.998142	Si-B/0.000000	Si-I/0.000008	Sy-B/0.000001	Sy-I/0.001020	Tr-B/0.000000	Tr-I/0.000303
:	PUNC	OTHER	x-B	O/0.999999	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
椎	CHN	OTHER	n-B	Bo-B/0.988643	Bo-B/0.988643	Bo-I/0.000168	Ch-B/0.001409	Ch-I/0.000000	O/0.009252	Si-B/0.000167	Si-I/0.000001	Sy-B/0.000047	Sy-I/0.000000	Tr-B/0.000312	Tr-I/0.000000
基	CHN	OTHER	n-B	Bo-I/0.953620	Bo-B/0.037147	Bo-I/0.953620	Ch-B/0.000016	Ch-I/0.001230	O/0.007560	Si-B/0.000019	Si-I/0.000169	Sy-B/0.000011	Sy-I/0.000024	Tr-B/0.000037	Tr-I/0.000168
底	CHN	OTHER	n-I	Bo-I/0.990997	Bo-B/0.000022	Bo-I/0.990997	Ch-B/0.000000	Ch-I/0.001078	O/0.007546	Si-B/0.000000	Si-I/0.000181	Sy-B/0.000000	Sy-I/0.000009	Tr-B/0.000001	Tr-I/0.000165
动	CHN	OTHER	n-B	Bo-I/0.988237	Bo-B/0.002458	Bo-I/0.988237	Ch-B/0.000000	Ch-I/0.000691	O/0.008281	Si-B/0.000014	Si-I/0.000169	Sy-B/0.000024	Sy-I/0.000002	Tr-B/0.000008	Tr-I/0.000116
脉	CHN	OTHER	n-I	Bo-I/0.990791	Bo-B/0.000001	Bo-I/0.990791	Ch-B/0.000000	Ch-I/0.000400	O/0.008501	Si-B/0.000000	Si-I/0.000177	Sy-B/0.000000	Sy-I/0.000025	Tr-B/0.000000	Tr-I/0.000104
供	CHN	OTHER	vn-B	O/0.998518	Bo-B/0.000000	Bo-I/0.000086	Ch-B/0.000003	Ch-I/0.000067	O/0.998518	Si-B/0.000020	Si-I/0.000083	Sy-B/0.001198	Sy-I/0.000002	Tr-B/0.000006	Tr-I/0.000016
