# 0.264281
①	OTHER	O	O/0.997338	Bo-B/0.000123	Bo-I/0.000127	Ch-B/0.000145	Ch-I/0.000099	O/0.997338	Si-B/0.000379	Si-I/0.000149	Sy-B/0.000947	Sy-I/0.000357	Tr-B/0.000189	Tr-I/0.000147
头	CHN	R-B	Sy-B/0.975425	Bo-B/0.014869	Bo-I/0.000003	Ch-B/0.006893	Ch-I/0.000002	O/0.000008	Si-B/0.001023	Si-I/0.000001	Sy-B/0.975425	Sy-I/0.000020	Tr-B/0.001755	Tr-I/0.000001
晕	CHN	R-I	Sy-I/0.977147	Bo-B/0.000006	Bo-I/0.014543	Ch-B/0.000002	Ch-I/0.006575	O/0.000022	Si-B/0.000004	Si-I/0.000579	Sy-B/0.000006	Sy-I/0.977147	Tr-B/0.000005	Tr-I/0.001111
查	CHN	O	O/0.999990	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999990	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000008	Tr-B/0.000000	Tr-I/0.000000
因	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
:	PUNC	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
椎	CHN	R-B	Bo-B/0.984725	Bo-B/0.984725	Bo-I/0.000014	Ch-B/0.011489	Ch-I/0.000001	O/0.000002	Si-B/0.002679	Si-I/0.000002	Sy-B/0.000125	Sy-I/0.000000	Tr-B/0.000963	Tr-I/0.000000
基	CHN	R-I	Bo-I/0.984761	Bo-B/0.000037	Bo-I/0.984761	Ch-B/0.000002	Ch-I/0.011457	O/0.000001	Si-B/0.000002	Si-I/0.002707	Sy-B/0.000001	Sy-I/0.000102	Tr-B/0.000001	Tr-I/0.000929
底	CHN	R-I	Bo-I/0.984829	Bo-B/0.000025	Bo-I/0.984829	Ch-B/0.000002	Ch-I/0.011467	O/0.000001	Si-B/0.000001	Si-I/0.002631	Sy-B/0.000002	Sy-I/0.000102	Tr-B/0.000001	Tr-I/0.000940
动	CHN	R-I	Bo-I/0.984966	Bo-B/0.000033	Bo-I/0.984966	Ch-B/0.000001	Ch-I/0.011463	O/0.000001	Si-B/0.000001	Si-I/0.002470	Sy-B/0.000001	Sy-I/0.000142	Tr-B/0.000001	Tr-I/0.000921
脉	CHN	R-I	Bo-I/0.985412	Bo-B/0.000005	Bo-I/0.985412	Ch-B/0.000002	Ch-I/0.011284	O/0.000019	Si-B/0.000003	Si-I/0.002235	Sy-B/0.000003	Sy-I/0.000127	Tr-B/0.000003	Tr-I/0.000907
供	CHN	O	O/0.999992	Bo-B/0.000000	Bo-I/0.000007	Ch-B/0.000000	Ch-I/0.000000	O/0.999992	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
