,FilePath,Text,T_start,T_end,Annoted,AnnotET,Learned,LearnET
0,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-104.txt,胀,0,0,胀,Sy,,
1,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-118.txt,疱疹性咽峡炎,63,68,疱疹性咽峡炎,Si,疱疹,Sy
2,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-118.txt,热性惊厥,72,75,热性惊厥,Si,,
3,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-186.txt,麻木无力,51,54,麻木,Sy,麻木无力,Sy
4,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-186.txt,麻木无力,51,54,无力,Sy,麻木无力,Sy
5,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-198.txt,活动不灵,34,37,活动不灵,Sy,,
6,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-198.txt,言语不利,39,42,言语不利,Sy,,
7,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-208.txt,腰部,41,42,腰,Bo,腰部,Bo
8,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-226.txt,无力,54,55,,,无力,Sy
9,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-230.txt,酸痛,51,52,酸痛,Sy,,
10,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-244.txt,肿物,28,29,肿物,Sy,,
11,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-247.txt,右下腹痛,12,15,右下腹痛,Sy,右下,Bo
12,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-247.txt,右下腹痛,12,15,右下腹痛,Sy,腹痛,Sy
13,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-248.txt,@右下腹痛,12,16, 右下腹痛,Sy,右下,Bo
14,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-248.txt,@右下腹痛,12,16, 右下腹痛,Sy,腹痛,Sy
15,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-260.txt,头部腰部,25,28,头部,Bo,头部腰部,Bo
16,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-260.txt,头部腰部,25,28,腰部,Bo,头部腰部,Bo
17,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-270.txt,胸背部,0,2,胸背部,Bo,胸,Bo
18,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-270.txt,胸背部,0,2,胸背部,Bo,背部,Bo
19,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-283.txt,淤青,16,17,淤青,Sy,,
20,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-295.txt,左手拇指末节背侧,24,31,左手拇指末节背侧,Bo,左手拇指末节,Bo
21,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-300.txt,右胸背部,15,18,右胸,Bo,右胸背部,Bo
22,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-300.txt,右胸背部,15,18,背部,Bo,右胸背部,Bo
23,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-6.txt,便,25,25,便,Bo,,
24,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-67.txt,下腹痛,0,2,下腹痛,Sy,腹痛,Sy
25,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-100.txt,手术治疗(具体不详),28,37,手术治疗(具体不详),Tr,,
26,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-100.txt,全身皮肤粘膜,221,226,全身皮肤粘膜,Bo,皮肤粘膜,Bo
27,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-100.txt,鼻甲,323,324,,,鼻甲,Bo
28,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-100.txt,鼻窦,329,330,,,鼻窦,Bo
29,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-100.txt,血管,401,402,,,血管,Bo
30,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-100.txt,各瓣膜听诊区,522,527,,,各瓣膜听诊区,Bo
31,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-100.txt,双侧肱二、三头肌反射,644,653,,,双侧肱二、三头肌反射,Ch
32,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-100.txt,膝腱反射,655,658,,,膝腱反射,Ch
33,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-100.txt,左侧胸部,684,687,胸部,Bo,左侧胸部,Bo
34,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-100.txt,肢体,711,712,,,肢体,Bo
35,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-100.txt,胸部CT+肋骨重建,725,733,胸部CT,Ch,胸部CT+肋骨重建,Ch
36,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-100.txt,胸部CT+肋骨重建,725,733,肋骨重建,Ch,胸部CT+肋骨重建,Ch
37,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-100.txt,右肺中叶炎症,737,742,右肺中叶炎症,Si,右肺,Bo
38,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-100.txt,主动脉硬化,752,756,主动脉硬化,Si,主动脉,Bo
39,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-100.txt,左侧第2、3、4肋骨骨折,758,769,左侧第2、3、4肋骨骨折,Si,左侧第2、3、4肋骨,Bo
40,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-100.txt,左侧第2、3、4肋骨骨折,758,769,左侧第2、3、4肋骨骨折,Si,骨折,Sy
41,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-102.txt,右手中指植皮手术,20,27,右手中指植皮手术,Tr,右手中指,Bo
42,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-102.txt,身体多处,56,59,身体多处,Bo,,
43,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-102.txt,肝胆脾胰双肾CT扫描,152,161,肝胆脾胰双肾CT扫描,Ch,肝胆脾胰双肾CT,Ch
44,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-102.txt,DR,169,170,DR,Ch,,
45,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-102.txt,左上肢双下肢,670,675,左上肢,Bo,左上肢双下肢,Bo
46,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-102.txt,左上肢双下肢,670,675,双下肢,Bo,左上肢双下肢,Bo
47,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-102.txt,右肘关节,801,804,右肘关节,Bo,右肘,Bo
48,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-102.txt,右肘关节,820,823,右肘关节,Bo,右肘,Bo
49,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-102.txt,CT,841,842,,,CT,Ch
50,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-102.txt,头颅CT,848,851,,,头颅CT,Ch
51,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-102.txt,胸部CT,858,861,,,胸部CT,Ch
52,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-102.txt,肝胆脾胰双肾CT,866,873,,,肝胆脾胰双肾CT,Ch
53,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-102.txt,右肘关节,890,893,,,右肘关节,Bo
54,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-102.txt,右肩关节,895,898,,,右肩关节,Bo
55,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-102.txt,右髋关节,900,903,,,右髋关节,Bo
56,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-105.txt,规律服药(具体药名剂量不详),25,38,规律服药(具体药名剂量不详),Tr,,
57,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-105.txt,各鼻窦,238,240,各鼻窦,Bo,鼻窦,Bo
58,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-105.txt,静脉怒张,280,283,怒张,Sy,静脉怒张,Sy
59,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-105.txt,颈动脉,285,287,,,颈动脉,Bo
60,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-105.txt,血管,311,312,,,血管,Bo
61,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-105.txt,左侧胸部,605,608,胸部,Bo,左侧胸部,Bo
62,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-105.txt,左侧上腹部,632,636,上腹部,Bo,左侧上腹部,Bo
63,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-105.txt,头、胸CT,676,680,头、胸CT,Ch,胸CT,Ch
64,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-105.txt,肝囊,692,693,肝,Bo,肝囊,Bo
65,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-105.txt,肝,696,696,,,肝,Bo
66,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-107.txt,山莨菪碱平痛新肌注,89,97,,,山莨菪碱平痛新肌注,Tr
67,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-107.txt,右肾囊肿左侧输尿管上段,139,149,右肾,Bo,右肾囊肿左侧输尿管上段,Bo
68,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-107.txt,两侧阴囊,625,628,阴囊,Bo,两侧阴囊,Bo
69,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/病史特点/病史特点-113.txt,手术治疗(具体不详),34,43,手术治疗(具体不详),Tr,,
