# 0.777288
中	CHN	丨	O/0.999771	O/0.999771	R-B/0.000229	R-I/0.000000
年	CHN	干	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
男	CHN	田	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
性	CHN	忄	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
4	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
9	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
岁	CHN	山	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
主	CHN	丶	O/0.999903	O/0.999903	R-B/0.000097	R-I/0.000000
因	CHN	囗	O/0.999888	O/0.999888	R-B/0.000017	R-I/0.000095
:	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
腹	CHN	月	R-B/0.999997	O/0.000001	R-B/0.999997	R-I/0.000001
痛	CHN	疒	R-I/0.999671	O/0.000077	R-B/0.000252	R-I/0.999671
、	PUNC	-	O/0.999965	O/0.999965	R-B/0.000008	R-I/0.000028
腹	CHN	月	R-B/0.999996	O/0.000000	R-B/0.999996	R-I/0.000004
胀	CHN	月	R-I/0.999994	O/0.000005	R-B/0.000001	R-I/0.999994
2	NUM	-	O/0.999561	O/0.999561	R-B/0.000006	R-I/0.000432
个	CHN	丨	O/0.999328	O/0.999328	R-B/0.000620	R-I/0.000052
月	CHN	月	O/0.999367	O/0.999367	R-B/0.000006	R-I/0.000627
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
停	CHN	亻	O/0.999720	O/0.999720	R-B/0.000280	R-I/0.000000
止	CHN	止	O/0.999649	O/0.999649	R-B/0.000096	R-I/0.000255
排	CHN	扌	O/0.804947	O/0.804947	R-B/0.194708	R-I/0.000345
便	CHN	亻	O/0.779075	O/0.779075	R-B/0.021200	R-I/0.199725
3	NUM	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
天	CHN	大	O/0.999987	O/0.999987	R-B/0.000013	R-I/0.000000
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
停	CHN	亻	O/0.999943	O/0.999943	R-B/0.000057	R-I/0.000000
止	CHN	止	O/0.999991	O/0.999991	R-B/0.000001	R-I/0.000008
排	CHN	扌	O/0.999800	O/0.999800	R-B/0.000197	R-I/0.000003
