,FilePath,Text,T_start,T_end,Annoted,AnnotET,Learned,LearnET
0,dataset/luohu/text/text11_StandardFormat.txt,心界不大,74,77,心界不大,unct,,
1,dataset/luohu/text/text11_StandardFormat.txt,左下腹,120,122,左下腹,Bo,左下腹,Ch
2,dataset/luohu/text/text11_StandardFormat.txt,移动性浊音(-),134,141,移动性浊音(-),unct,,
3,dataset/luohu/text/text11_StandardFormat.txt,双下肢,149,151,双下肢,Ch,双下肢,Bo
4,dataset/luohu/text/text11_StandardFormat.txt,门诊查电子胃镜,190,196,电子胃镜,Ch,门诊查电子胃镜,Ch
5,dataset/luohu/text/text11_StandardFormat.txt,慢性浅表性胃炎伴糜烂,198,207,慢性浅表性胃炎伴糜烂,Sy,慢性浅表性胃炎,Si
6,dataset/luohu/text/text11_StandardFormat.txt,9电子肠镜,218,222,电子肠镜,Ch,9电子肠镜,Ch
7,dataset/luohu/text/text11_StandardFormat.txt,乙状结肠,231,234,乙状结肠,Si,,
8,dataset/luohu/text/text11_StandardFormat.txt,内痔,240,241,内痔,Si,,
9,dataset/luohu/text/text11_StandardFormat.txt,结肠)腺瘤性息肉,249,256,结肠,Si,结肠)腺瘤性息肉,Si
10,dataset/luohu/text/text11_StandardFormat.txt,结肠)腺瘤性息肉,249,256,腺瘤性息肉,Si,结肠)腺瘤性息肉,Si
11,dataset/luohu/text/text13_StandardFormat.txt,咳嗽咳痰,63,66,咳嗽,Sy,咳嗽咳痰,Sy
12,dataset/luohu/text/text13_StandardFormat.txt,咳嗽咳痰,63,66,咳痰,Sy,咳嗽咳痰,Sy
13,dataset/luohu/text/text13_StandardFormat.txt,空腹血糖,116,119,,,空腹血糖,Ch
14,dataset/luohu/text/text13_StandardFormat.txt,餐后2h血糖,133,138,,,餐后2h血糖,Ch
15,dataset/luohu/text/text13_StandardFormat.txt,马来酸左旋氨氯地平,185,193,马来酸左旋氨氯地平,Tr,来酸左旋氨氯地平,Tr
16,dataset/luohu/text/text13_StandardFormat.txt,诉血压,198,200,,,诉血压,Ch
17,dataset/luohu/text/text13_StandardFormat.txt,阵发性刺激性,240,245,,,阵发性刺激性,Ch
18,dataset/luohu/text/text13_StandardFormat.txt,咳大量白,255,258,,,咳大量白,Sy
19,dataset/luohu/text/text13_StandardFormat.txt,痰液,260,261,,,痰液,Tr
20,dataset/luohu/text/text13_StandardFormat.txt,易咯出,263,265,,,易咯出,Sy
21,dataset/luohu/text/text13_StandardFormat.txt,腹痛、黄疸,278,282,黄疸,Sy,腹痛、黄疸,Sy
22,dataset/luohu/text/text13_StandardFormat.txt,腹痛、黄疸,278,282,腹痛,Sy,腹痛、黄疸,Sy
23,dataset/luohu/text/text13_StandardFormat.txt,尿频,291,292,尿频,Sy,,
24,dataset/luohu/text/text13_StandardFormat.txt,尿急,294,295,尿急,Sy,,
25,dataset/luohu/text/text13_StandardFormat.txt,心悸,304,305,心悸,Sy,,
26,dataset/luohu/text/text13_StandardFormat.txt,盗汗,308,309,盗汗,Sy,,
27,dataset/luohu/text/text13_StandardFormat.txt,纳差,314,315,纳差,Sy,,
28,dataset/luohu/text/text13_StandardFormat.txt,关节肿痛,321,324,关节肿痛,Sy,肿痛,Sy
29,dataset/luohu/text/text13_StandardFormat.txt,雷诺现象,326,329,雷诺现象,Sy,,
30,dataset/luohu/text/text13_StandardFormat.txt,晨僵,331,332,晨僵,Sy,,
31,dataset/luohu/text/text13_StandardFormat.txt,咳嗽查,359,361,,,咳嗽查,Si
32,dataset/luohu/text/text13_StandardFormat.txt,抗感染,369,371,抗感染,Tr,,
