,FilePath,Text,T_start,T_end,Annoted,AnnotET,Learned,LearnET
0,dataset/luohu/text/text11_StandardFormat.txt,结肠多发息肉,8,13,结肠多发息肉,Si,,
1,dataset/luohu/text/text11_StandardFormat.txt,隆起,71,72,隆起,Sy,,
2,dataset/luohu/text/text11_StandardFormat.txt,心界不大,74,77,心界不大,unct,,
3,dataset/luohu/text/text11_StandardFormat.txt,左下腹有压痛,120,125,左下腹,Bo,左下腹有压痛,Sy
4,dataset/luohu/text/text11_StandardFormat.txt,左下腹有压痛,120,125,压痛,Sy,左下腹有压痛,Sy
5,dataset/luohu/text/text11_StandardFormat.txt,反跳痛,130,132,反跳痛,Sy,,
6,dataset/luohu/text/text11_StandardFormat.txt,移动性浊音(-),134,141,移动性浊音(-),unct,移动性浊音,Sy
7,dataset/luohu/text/text11_StandardFormat.txt,双下肢,149,151,双下肢,Ch,,
8,dataset/luohu/text/text11_StandardFormat.txt,肌力,156,157,肌力,Ch,,
9,dataset/luohu/text/text11_StandardFormat.txt,慢性浅表性胃炎伴糜烂,198,207,慢性浅表性胃炎伴糜烂,Sy,慢性浅表性胃炎伴糜烂,Si
10,dataset/luohu/text/text11_StandardFormat.txt,大肠多发息肉,224,229,大肠多发息肉,Si,,
11,dataset/luohu/text/text11_StandardFormat.txt,内痔,240,241,内痔,Si,,
12,dataset/luohu/text/text11_StandardFormat.txt,结肠,249,250,结肠,Si,,
13,dataset/luohu/text/text13_StandardFormat.txt,咳嗽咳痰,63,66,咳嗽,Sy,咳嗽咳痰,Sy
14,dataset/luohu/text/text13_StandardFormat.txt,咳嗽咳痰,63,66,咳痰,Sy,咳嗽咳痰,Sy
15,dataset/luohu/text/text13_StandardFormat.txt,来得时,106,108,来得时,Tr,,
16,dataset/luohu/text/text13_StandardFormat.txt,餐后,133,134,,,餐后,Ch
17,dataset/luohu/text/text13_StandardFormat.txt,马来酸左旋氨氯地平降压,185,195,马来酸左旋氨氯地平,Tr,来酸左旋氨氯地平降压,Tr
18,dataset/luohu/text/text13_StandardFormat.txt,血丝,271,272,,,血丝,Sy
19,dataset/luohu/text/text13_StandardFormat.txt,盗汗,308,309,盗汗,Sy,,
20,dataset/luohu/text/text13_StandardFormat.txt,雷诺现象,326,329,雷诺现象,Sy,雷诺现象,Tr
21,dataset/luohu/text/text13_StandardFormat.txt,抗感染,369,371,抗感染,Tr,,
22,dataset/luohu/text/text13_StandardFormat.txt,止咳化痰,373,376,止咳化痰,Tr,止咳化痰,Sy
23,dataset/luohu/text/text13_StandardFormat.txt,反复咳嗽咳痰,397,402,,,反复咳嗽咳痰,Sy
24,dataset/luohu/text/text13_StandardFormat.txt,体重,449,450,体重,Bo,,
25,dataset/luohu/text/text16_StandardFormat.txt,万爽力,184,186,万爽力,Tr,,
26,dataset/luohu/text/text16_StandardFormat.txt,耐信,222,223,耐信,Tr,,
27,dataset/luohu/text/text16_StandardFormat.txt,红肿,277,278,红肿,Sy,,
28,dataset/luohu/text/text16_StandardFormat.txt,反酸,301,302,反酸,Sy,,
29,dataset/luohu/text/text16_StandardFormat.txt,烧心感,304,306,烧心感,Sy,,
30,dataset/luohu/text/text16_StandardFormat.txt,舌暗红,308,310,舌暗红,Sy,,
31,dataset/luohu/text/text16_StandardFormat.txt,苔薄白,312,314,苔薄白,Sy,,
32,dataset/luohu/text/text16_StandardFormat.txt,脉弦,316,317,脉弦,unct,,
33,dataset/luohu/text/text16_StandardFormat.txt,大便秘结,327,330,大便秘结,Sy,,
34,dataset/luohu/text/text16_StandardFormat.txt,双拇背伸肌力及足跖屈力,424,434,双拇背伸肌力及足跖屈力,Ch,双拇背伸肌力,Ch
35,dataset/luohu/text/text16_StandardFormat.txt,髌周及双膝眼压痛,482,489,髌周及双膝眼压痛,Sy,双膝眼压痛,Sy
36,dataset/luohu/text/text16_StandardFormat.txt,腰3及以上椎体后滑脱,572,581,腰3及以上椎体后滑脱,Si,,
37,dataset/luohu/text/text16_StandardFormat.txt,胸11,587,589,胸11,Bo,胸,Ch
38,dataset/luohu/text/text16_StandardFormat.txt,12椎体压缩,591,596,12椎体压缩,Si,,
39,dataset/luohu/text/text16_StandardFormat.txt,腰1/2-腰5/骶1椎间盘膨出,605,619,腰1/2-腰5/骶1椎间盘膨出,Si,腰5/骶1椎间盘膨出,Si
40,dataset/luohu/text/text16_StandardFormat.txt,腰1/2-腰5/骶1椎间盘膨出,605,619,腰1/2-腰5/骶1椎间盘膨出,Si,腰,Ch
41,dataset/luohu/text/text16_StandardFormat.txt,双膝片,642,644,双膝片,Ch,,
42,dataset/luohu/text/text26_StandardFormat.txt,传染病史,273,276,传染病史,Si,,
43,dataset/luohu/text/text26_StandardFormat.txt,阵发性干咳,301,305,阵发性干咳,Sy,,
44,dataset/luohu/text/text26_StandardFormat.txt,流清涕,308,310,流清涕,Sy,,
45,dataset/luohu/text/text26_StandardFormat.txt,咳嗽,312,313,咳嗽,Sy,,
46,dataset/luohu/text/text26_StandardFormat.txt,腹部不适,331,334,腹部不适,Sy,,
47,dataset/luohu/text/text26_StandardFormat.txt,睡眠欠佳,341,344,睡眠欠佳,Sy,,
48,dataset/luohu/text/text26_StandardFormat.txt,体重,352,353,体重,Bo,,
49,dataset/luohu/text/text26_StandardFormat.txt,减轻,355,356,减轻,Sy,,
50,dataset/luohu/text/text26_StandardFormat.txt,口唇苍白,404,407,口唇苍白,Sy,,
51,dataset/luohu/text/text26_StandardFormat.txt,双侧扁桃体I度肿大,415,423,双侧扁桃体I度肿大,Sy,肿大,Sy
52,dataset/luohu/text/text26_StandardFormat.txt,双肺,425,426,双肺,Bo,,
53,dataset/luohu/text/text26_StandardFormat.txt,干湿性啰音和胸膜摩擦音,435,445,干湿性啰音和胸膜摩擦音,Sy,胸膜摩擦音,Sy
54,dataset/luohu/text/text26_StandardFormat.txt,肌力及肌张力,509,514,肌力及肌张力,Ch,肌张力,Ch
55,dataset/luohu/text/text26_StandardFormat.txt,肌力及肌张力,509,514,肌力及肌张力,Ch,肌力,Ch
56,dataset/luohu/text/text26_StandardFormat.txt,神经反射,518,521,神经反射,Ch,,
57,dataset/luohu/text/text26_StandardFormat.txt,心脏增大,657,660,心脏增大,Si,心脏增大,Sy
58,dataset/luohu/text/text26_StandardFormat.txt,主动脉型,662,665,主动脉型,DT,主动脉型,Si
59,dataset/luohu/text/text28_StandardFormat.txt,左上肺结节性质待定,13,21,左上肺结节,Si,左上肺结节性质待定,Si
60,dataset/luohu/text/text28_StandardFormat.txt,左肺下叶鳞状细胞癌术后2,52,63,左肺下叶鳞状细胞癌术后,Si,左肺下叶鳞状细胞癌术后2,Sy
61,dataset/luohu/text/text28_StandardFormat.txt,咳嗽咳痰,67,70,咳嗽,Sy,咳嗽咳痰,Sy
62,dataset/luohu/text/text28_StandardFormat.txt,咳嗽咳痰,67,70,咳痰,Sy,咳嗽咳痰,Sy
63,dataset/luohu/text/text28_StandardFormat.txt,有青霉素过敏史,79,85,青霉素过敏史,Si,有青霉素过敏史,Si
64,dataset/luohu/text/text28_StandardFormat.txt,左肺下叶切除术,99,105,左肺下叶切除术,Si,,
65,dataset/luohu/text/text28_StandardFormat.txt,化疗,111,112,化疗,Tr,,
66,dataset/luohu/text/text28_StandardFormat.txt,高血压,116,118,高血压,Si,血压,Ch
67,dataset/luohu/text/text28_StandardFormat.txt,代文,137,138,代文,Tr,,
68,dataset/luohu/text/text28_StandardFormat.txt,II型糖尿病,147,152,II型糖尿病,Si,I型糖尿病,Si
69,dataset/luohu/text/text28_StandardFormat.txt,阿卡波糖及胰岛素对症治疗,161,172,阿卡波糖,Tr,阿卡波糖及胰岛素对症治疗,Tr
70,dataset/luohu/text/text28_StandardFormat.txt,阿卡波糖及胰岛素对症治疗,161,172,胰岛素,Tr,阿卡波糖及胰岛素对症治疗,Tr
71,dataset/luohu/text/text28_StandardFormat.txt,右冠脉阻塞,183,187,右冠脉阻塞,Si,右冠脉阻塞,Sy
72,dataset/luohu/text/text28_StandardFormat.txt,阿斯匹林,207,210,阿斯匹林,Tr,,
73,dataset/luohu/text/text28_StandardFormat.txt,结核,221,222,结核,Si,结核,Sy
74,dataset/luohu/text/text28_StandardFormat.txt,肾病,255,256,肾病,Si,,
75,dataset/luohu/text/text28_StandardFormat.txt,填过敏食物或药物,287,294,,,填过敏食物或药物,Si
76,dataset/luohu/text/text28_StandardFormat.txt,胸廓,359,360,胸廓,Si,胸廓,Bo
77,dataset/luohu/text/text28_StandardFormat.txt,双肺,424,425,双肺,Bo,,
78,dataset/luohu/text/text28_StandardFormat.txt,明显干湿性罗音和胸膜摩擦音,441,453,明显干湿性罗音,Sy,明显干湿性罗音和胸膜摩擦音,Sy
79,dataset/luohu/text/text28_StandardFormat.txt,明显干湿性罗音和胸膜摩擦音,441,453,胸膜摩擦音,Sy,明显干湿性罗音和胸膜摩擦音,Sy
80,dataset/luohu/text/text28_StandardFormat.txt,心前区,455,457,心前区,Bo,,
81,dataset/luohu/text/text28_StandardFormat.txt,隆起凹陷,459,462,隆起凹陷,Sy,,
82,dataset/luohu/text/text28_StandardFormat.txt,震颤和心包摩擦感,497,504,心包摩擦感,Sy,震颤和心包摩擦感,Sy
83,dataset/luohu/text/text28_StandardFormat.txt,震颤和心包摩擦感,497,504,震颤,Sy,震颤和心包摩擦感,Sy
84,dataset/luohu/text/text28_StandardFormat.txt,移动性浊音,570,574,,,移动性浊音,Sy
85,dataset/luohu/text/text32_StandardFormat.txt,急性痛风性关节炎,0,7,急性痛风性关节炎,Si,,
86,dataset/luohu/text/text32_StandardFormat.txt,高尿酸血症,9,13,高尿酸血症,Si,,
87,dataset/luohu/text/text32_StandardFormat.txt,痛风性肾病,15,19,痛风性肾病,Si,,
88,dataset/luohu/text/text32_StandardFormat.txt,慢性肾功能不全,21,27,慢性肾功能不全,Si,,
89,dataset/luohu/text/text32_StandardFormat.txt,CKDII期,29,34,CKDII期,DT,,
90,dataset/luohu/text/text32_StandardFormat.txt,左肾缩小,37,40,左肾缩小,Si,,
91,dataset/luohu/text/text32_StandardFormat.txt,踝关节疼痛伴红肿2,80,88,踝关节疼痛,Sy,踝关节疼痛伴红肿2,Sy
92,dataset/luohu/text/text32_StandardFormat.txt,踝关节疼痛伴红肿2,80,88,红肿,Sy,踝关节疼痛伴红肿2,Sy
93,dataset/luohu/text/text32_StandardFormat.txt,肿胀半月,95,98,肿胀,Sy,肿胀半月,Sy
94,dataset/luohu/text/text32_StandardFormat.txt,干燥,115,116,干燥,Sy,,
95,dataset/luohu/text/text32_StandardFormat.txt,颈,126,126,颈,Bo,,
96,dataset/luohu/text/text32_StandardFormat.txt,颈静脉,129,131,,,颈静脉,Bo
97,dataset/luohu/text/text32_StandardFormat.txt,怒张,133,134,,,怒张,Sy
98,dataset/luohu/text/text32_StandardFormat.txt,心肺腹查体,136,140,心肺腹查体,Ch,,
99,dataset/luohu/text/text32_StandardFormat.txt,辅肋检查,209,212,辅肋检查,Ch,,
100,dataset/luohu/text/text32_StandardFormat.txt,CH,258,259,CH,Ch,,
101,dataset/luohu/text/text32_StandardFormat.txt,TG,272,273,TG,Ch,,
102,dataset/luohu/text/text35_StandardFormat.txt,诺和龙片,63,66,诺和龙片,Sy,诺和龙片,Tr
103,dataset/luohu/text/text35_StandardFormat.txt,腰椎,109,110,腰椎,Bo,,
104,dataset/luohu/text/text35_StandardFormat.txt,疼痛难忍,175,178,,,疼痛难忍,Sy
105,dataset/luohu/text/text35_StandardFormat.txt,膝反射,523,525,,,膝反射,Ch
106,dataset/luohu/text/text42_StandardFormat.txt,脂肪肝,96,98,脂肪肝,Si,,
107,dataset/luohu/text/text42_StandardFormat.txt,血压,185,186,,,血压,Ch
108,dataset/luohu/text/text42_StandardFormat.txt,干湿性啰音,350,354,干湿性啰音,Sy,,
109,dataset/luohu/text/text42_StandardFormat.txt,心率,362,363,心率,Ch,,
110,dataset/luohu/text/text42_StandardFormat.txt,腹部,382,383,腹部,Bo,,
111,dataset/luohu/text/text42_StandardFormat.txt,Murphy征阳性,403,411,Murphy征阳性,unct,,
112,dataset/luohu/text/text42_StandardFormat.txt,肝内钙化灶,470,474,肝内钙化灶,Si,,
113,dataset/luohu/text/text42_StandardFormat.txt,胆囊,478,479,胆囊,Bo,,
114,dataset/luohu/text/text42_StandardFormat.txt,声像,482,483,,,声像,Sy
115,dataset/luohu/text/text42_StandardFormat.txt,胆囊内结石,493,497,胆囊内结石,Si,,
116,dataset/luohu/text/text42_StandardFormat.txt,胆囊炎,499,501,胆囊炎,Si,,
117,dataset/luohu/text/text42_StandardFormat.txt,脾,522,522,脾,Bo,,
118,dataset/luohu/text/text42_StandardFormat.txt,胰,524,524,胰,Bo,,
119,dataset/luohu/text/text42_StandardFormat.txt,右下肺炎症,540,544,右下肺炎症,Sy,右下肺炎症,Si
120,dataset/luohu/text/text42_StandardFormat.txt,CT,555,556,CT,Ch,,
121,dataset/luohu/text/text47_StandardFormat.txt,糖尿病肾病,6,10,糖尿病肾病,DT,糖尿病肾病,Si
122,dataset/luohu/text/text47_StandardFormat.txt,BP,71,72,BP,Ch,,
123,dataset/luohu/text/text47_StandardFormat.txt,干燥,94,95,干燥,Sy,,
124,dataset/luohu/text/text47_StandardFormat.txt,颈,105,105,颈,Bo,,
125,dataset/luohu/text/text47_StandardFormat.txt,心肺腹查体,115,119,心肺腹查体,Ch,,
126,dataset/luohu/text/text47_StandardFormat.txt,明显异常,122,125,,,明显异常,Sy
127,dataset/luohu/text/text47_StandardFormat.txt,生理反射,144,147,生理反射,Ch,,
128,dataset/luohu/text/text47_StandardFormat.txt,双足背动脉,159,163,双足背动脉,Bo,双足背,Bo
129,dataset/luohu/text/text47_StandardFormat.txt,24h尿蛋白定量,180,187,24h尿蛋白定量,Ch,h尿蛋白定量,Ch
130,dataset/luohu/text/text4_StandardFormat.txt,原发性胆汁性肝硬化;2级高血压病,0,15,原发性胆汁性肝硬化,Si,原发性胆汁性肝硬化;2级高血压病,Si
