# 0.000010
慢	CHN	Si-B/0.997644	Bo-B/0.000030	Bo-I/0.000036	Ch-B/0.000023	Ch-I/0.000028	DT-B/0.000041	DT-I/0.000091	O/0.000185	Si-B/0.997644	Si-I/0.001372	Sy-B/0.000214	Sy-I/0.000021	Tr-B/0.000042	Tr-I/0.000029	unct-B/0.000091	unct-I/0.000151
性	CHN	Si-I/0.999177	Bo-B/0.000001	Bo-I/0.000020	Ch-B/0.000001	Ch-I/0.000023	DT-B/0.000001	DT-I/0.000039	O/0.000160	Si-B/0.000177	Si-I/0.999177	Sy-B/0.000001	Sy-I/0.000203	Tr-B/0.000003	Tr-I/0.000023	unct-B/0.000003	unct-I/0.000169
浅	CHN	Si-I/0.999339	Bo-B/0.000001	Bo-I/0.000013	Ch-B/0.000001	Ch-I/0.000016	DT-B/0.000001	DT-I/0.000018	O/0.000125	Si-B/0.000183	Si-I/0.999339	Sy-B/0.000002	Sy-I/0.000188	Tr-B/0.000002	Tr-I/0.000016	unct-B/0.000003	unct-I/0.000092
表	CHN	Si-I/0.999341	Bo-B/0.000001	Bo-I/0.000008	Ch-B/0.000001	Ch-I/0.000009	DT-B/0.000001	DT-I/0.000011	O/0.000074	Si-B/0.000283	Si-I/0.999341	Sy-B/0.000004	Sy-I/0.000175	Tr-B/0.000002	Tr-I/0.000012	unct-B/0.000003	unct-I/0.000077
性	CHN	Si-I/0.999556	Bo-B/0.000000	Bo-I/0.000003	Ch-B/0.000000	Ch-I/0.000005	DT-B/0.000001	DT-I/0.000009	O/0.000087	Si-B/0.000068	Si-I/0.999556	Sy-B/0.000002	Sy-I/0.000180	Tr-B/0.000003	Tr-I/0.000012	unct-B/0.000002	unct-I/0.000073
胃	CHN	Si-I/0.999397	Bo-B/0.000002	Bo-I/0.000002	Ch-B/0.000002	Ch-I/0.000007	DT-B/0.000001	DT-I/0.000016	O/0.000085	Si-B/0.000199	Si-I/0.999397	Sy-B/0.000012	Sy-I/0.000196	Tr-B/0.000002	Tr-I/0.000026	unct-B/0.000002	unct-I/0.000055
炎	CHN	Si-I/0.999400	Bo-B/0.000001	Bo-I/0.000008	Ch-B/0.000001	Ch-I/0.000011	DT-B/0.000001	DT-I/0.000031	O/0.000193	Si-B/0.000000	Si-I/0.999400	Sy-B/0.000001	Sy-I/0.000248	Tr-B/0.000001	Tr-I/0.000039	unct-B/0.000001	unct-I/0.000064
,	PUNC	O/0.998326	Bo-B/0.000001	Bo-I/0.000001	Ch-B/0.000001	Ch-I/0.000000	DT-B/0.000001	DT-I/0.000000	O/0.998326	Si-B/0.000018	Si-I/0.001648	Sy-B/0.000003	Sy-I/0.000000	Tr-B/0.000001	Tr-I/0.000000	unct-B/0.000001	unct-I/0.000001
结	CHN	O/0.642160	Bo-B/0.013481	Bo-I/0.000019	Ch-B/0.018515	Ch-I/0.000014	DT-B/0.000342	DT-I/0.000018	O/0.642160	Si-B/0.317854	Si-I/0.002468	Sy-B/0.002560	Sy-I/0.000003	Tr-B/0.001670	Tr-I/0.000006	unct-B/0.000881	unct-I/0.000010
肠	CHN	O/0.642951	Bo-B/0.000042	Bo-I/0.011025	Ch-B/0.000284	Ch-I/0.017112	DT-B/0.000013	DT-I/0.000153	O/0.642951	Si-B/0.001655	Si-I/0.323291	Sy-B/0.000032	Sy-I/0.001823	Tr-B/0.000092	Tr-I/0.001187	unct-B/0.000023	unct-I/0.000316
多	CHN	O/0.662013	Bo-B/0.000011	Bo-I/0.002288	Ch-B/0.000020	Ch-I/0.007908	DT-B/0.000006	DT-I/0.000063	O/0.662013	Si-B/0.005157	Si-I/0.321339	Sy-B/0.000060	Sy-I/0.000419	Tr-B/0.000035	Tr-I/0.000518	unct-B/0.000011	unct-I/0.000151
