,FilePath,Text,T_start,T_end,Annoted,AnnotET,Learned,LearnET
0,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-104.txt,胀,0,0,胀,Sy,,
1,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-104.txt,活动受限,2,5,,,活动受限,Sy
2,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-112.txt,左膝摔伤后疼痛约,0,7,左膝,Bo,左膝摔伤后疼痛约,Sy
3,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-112.txt,左膝摔伤后疼痛约,0,7,疼痛,Sy,左膝摔伤后疼痛约,Sy
4,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-118.txt,承德市双滦区西地家属楼,5,15,,,承德市双滦区西地家属楼,Si
5,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-118.txt,发热,30,31,发热,Sy,,
6,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-118.txt,热性惊厥,72,75,热性惊厥,Si,,
7,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-125.txt,河北省承德市宽城满族自治县宽城镇朝阳小区,9,28,,,河北省承德市宽城满族自治县宽城镇朝阳小区,Sy
8,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-125.txt,急性化脓性扁桃体炎,71,79,急性化脓性扁桃体炎,Si,,
9,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-128.txt,双滦区宝鼎花园,6,12,,,双滦区宝鼎花园,Sy
10,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-128.txt,肺炎,56,57,肺炎,Si,,
11,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-129.txt,咳嗽,9,10,咳嗽,Sy,,
12,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-129.txt,急性支气管炎,37,42,急性支气管炎,Si,,
13,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-138.txt,河北省承德市双滦区锦绣城1区,6,19,,,河北省承德市双滦区锦绣城1区,Sy
14,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-138.txt,急性上呼吸道感染,69,76,急性上呼吸道感染,Si,,
15,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-141.txt,河北省承德市双滦区御景新城,6,18,,,河北省承德市双滦区御景新城,Sy
16,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-141.txt,咳嗽,40,41,咳嗽,Sy,,
17,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-141.txt,鼻塞3天,43,46,鼻塞,Sy,鼻塞3天,Sy
18,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-141.txt,支气管肺炎,66,70,支气管肺炎,Si,,
19,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-143.txt,河北省承德市双滦区吉品花园,7,19,,,河北省承德市双滦区吉品花园,Sy
20,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-143.txt,鼻塞3天,33,36,鼻塞,Sy,鼻塞3天,Sy
21,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-143.txt,呕吐5次于,44,48,呕吐,Sy,呕吐5次于,Sy
22,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-143.txt,急性上呼吸道感染,68,75,急性上呼吸道感染,Si,,
23,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-144.txt,发热3天于,26,30,发热,Sy,发热3天于,Sy
24,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-144.txt,急性上呼吸道感染,50,57,急性上呼吸道感染,Si,,
25,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-146.txt,河北省承德市双滦区西地乡肖店村,8,22,,,河北省承德市双滦区西地乡肖店村,Sy
26,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-147.txt,河北承德双滦区御水花园,6,16,,,河北承德双滦区御水花园,Sy
27,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-147.txt,咳嗽,31,32,咳嗽,Sy,,
28,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-147.txt,急性扁桃体炎,58,63,急性扁桃体炎,Si,,
29,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-15.txt,河北承德围场县,10,16,,,河北承德围场县,Si
30,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-15.txt,双膝关节疼痛,26,31,双膝关节,Bo,双膝关节疼痛,Sy
31,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-15.txt,双膝关节疼痛,26,31,疼痛,Sy,双膝关节疼痛,Sy
32,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-151.txt,河北省承德市双滦区双塔山镇御祥园小区3组团4号楼,7,30,,,河北省承德市双滦区双塔山镇御祥园小区3组团4号楼,Sy
33,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-151.txt,发热3天,45,48,发热,Sy,发热3天,Sy
34,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-151.txt,头痛流涕,50,53,头痛,Sy,头痛流涕,Sy
35,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-151.txt,头痛流涕,50,53,流涕,Sy,头痛流涕,Sy
36,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-151.txt,急性支气管炎,75,80,急性支气管炎,Si,,
37,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-156.txt,河北省承德市梁平县付营子乡凡西营村,6,22,,,河北省承德市梁平县付营子乡凡西营村,Ch
38,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-156.txt,咳嗽,31,32,咳嗽,Sy,,
39,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-156.txt,肺炎,57,58,肺炎,Si,,
40,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-157.txt,河北省承德市双滦区双塔山镇黄地沟村人,5,22,,,河北省承德市双滦区双塔山镇黄地沟村人,Sy
41,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-157.txt,咳嗽,26,27,咳嗽,Sy,,
42,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-157.txt,抽搐,37,38,抽搐,Sy,,
43,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-157.txt,急性喉-支气管炎,64,71,急性喉-支气管炎,Si,支气管炎,Si
44,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-157.txt,抽搐,74,75,抽搐,Sy,,
45,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-158.txt,河北省承德市双滦区西地乡四道河村人,3,19,,,河北省承德市双滦区西地乡四道河村人,Si
46,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-158.txt,肺炎,53,54,肺炎,Si,,
47,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-164.txt,河北省承德市双滦区锦绣城2区,6,19,,,河北省承德市双滦区锦绣城2区,Sy
48,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-164.txt,急性上呼吸道感染,68,75,急性上呼吸道感染,Si,,
49,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-166.txt,河北省承德市双滦区偏桥子镇长北沟村人,6,23,,,河北省承德市双滦区偏桥子镇长北沟村人,Sy
50,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-166.txt,急性上呼吸道感染,63,70,急性上呼吸道感染,Si,急性上呼吸道感染,Sy
51,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-17.txt,头痛头晕,42,45,头痛,Sy,头痛头晕,Sy
52,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-17.txt,头痛头晕,42,45,头晕,Sy,头痛头晕,Sy
53,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-177.txt,河北省承德市承德县下班城镇老街新,5,20,,,河北省承德市承德县下班城镇老街新,Sy
54,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-177.txt,支气管肺炎,57,61,支气管肺炎,Si,,
55,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-180.txt,发热3天,29,32,发热,Sy,发热3天,Sy
56,/Users/floyd/Desktop/Research/NER-CRF/cctner/dataset/annoted/batch1/一般项目/一般项目-180.txt,支气管肺炎,59,63,支气管肺炎,Si,,
