	E-Name	E-Start	E-End	E-Type
0	高脂血症	21	24	Si
1	表皮样囊肿	26	30	Si
2	皮下脂肪瘤	56	60	Si
3	高血压	69	71	Si
4	降压药物	86	89	Tr
5	右上腹部	107	110	Bo
6	全身皮肤	187	190	Bo
7	黄染	192	193	Sy
8	出血点	196	198	Bo
9	肝掌	202	203	Sy
10	律齐	212	213	Sy
11	病理性杂音	218	222	Ch
12	肺	225	225	Bo
13	呼吸音	226	228	Ch
14	啰音	236	237	Ch
15	腹	239	239	Bo
16	腹壁	244	245	Bo
17	静脉曲张	246	249	Sy
18	腹	274	274	Bo
19	全腹	277	278	Bo
20	压痛	280	281	Ch
21	反跳痛	283	285	Ch
22	肝脏肋下	297	300	Bo
23	脾脏肋下	304	307	Bo
24	移动性浊音	311	315	Ch
25	肠鸣音	319	321	Ch
26	双下肢	327	329	Bo
27	水肿	331	332	Sy
