# 0.008294
原	CHN	O/0.997848	Bo-B/0.000898	Bo-I/0.000163	Ch-B/0.000012	Ch-I/0.000099	O/0.997848	Si-B/0.000480	Si-I/0.000186	Sy-B/0.000087	Sy-I/0.000032	Tr-B/0.000029	Tr-I/0.000165
发	CHN	O/0.999150	Bo-B/0.000014	Bo-I/0.000020	Ch-B/0.000007	Ch-I/0.000023	O/0.999150	Si-B/0.000057	Si-I/0.000602	Sy-B/0.000043	Sy-I/0.000041	Tr-B/0.000004	Tr-I/0.000039
性	CHN	O/0.999095	Bo-B/0.000036	Bo-I/0.000002	Ch-B/0.000024	Ch-I/0.000022	O/0.999095	Si-B/0.000038	Si-I/0.000648	Sy-B/0.000050	Sy-I/0.000040	Tr-B/0.000024	Tr-I/0.000022
胆	CHN	O/0.998675	Bo-B/0.000406	Bo-I/0.000020	Ch-B/0.000013	Ch-I/0.000042	O/0.998675	Si-B/0.000021	Si-I/0.000666	Sy-B/0.000046	Sy-I/0.000050	Tr-B/0.000022	Tr-I/0.000039
汁	CHN	O/0.998889	Bo-B/0.000087	Bo-I/0.000098	Ch-B/0.000046	Ch-I/0.000035	O/0.998889	Si-B/0.000134	Si-I/0.000620	Sy-B/0.000007	Sy-I/0.000034	Tr-B/0.000016	Tr-I/0.000035
性	CHN	O/0.998991	Bo-B/0.000033	Bo-I/0.000007	Ch-B/0.000020	Ch-I/0.000073	O/0.998991	Si-B/0.000031	Si-I/0.000723	Sy-B/0.000051	Sy-I/0.000004	Tr-B/0.000039	Tr-I/0.000028
肝	CHN	O/0.967231	Bo-B/0.031016	Bo-I/0.000018	Ch-B/0.000389	Ch-I/0.000096	O/0.967231	Si-B/0.000013	Si-I/0.000755	Sy-B/0.000175	Sy-I/0.000058	Tr-B/0.000175	Tr-I/0.000073
硬	CHN	O/0.998620	Bo-B/0.000056	Bo-I/0.000307	Ch-B/0.000216	Ch-I/0.000431	O/0.998620	Si-B/0.000002	Si-I/0.000053	Sy-B/0.000027	Sy-I/0.000088	Tr-B/0.000011	Tr-I/0.000188
化	CHN	O/0.998956	Bo-B/0.000013	Bo-I/0.000100	Ch-B/0.000005	Ch-I/0.000645	O/0.998956	Si-B/0.000002	Si-I/0.000043	Sy-B/0.000004	Sy-I/0.000031	Tr-B/0.000010	Tr-I/0.000192
;	PUNC	O/0.999998	Bo-B/0.000000	Bo-I/0.000001	Ch-B/0.000000	Ch-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000001	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
2	NUM	O/0.998852	Bo-B/0.000020	Bo-I/0.000002	Ch-B/0.000039	Ch-I/0.000000	O/0.998852	Si-B/0.001026	Si-I/0.000006	Sy-B/0.000015	Sy-I/0.000000	Tr-B/0.000039	Tr-I/0.000000
级	CHN	O/0.996682	Bo-B/0.000105	Bo-I/0.000010	Ch-B/0.000075	Ch-I/0.000021	O/0.996682	Si-B/0.001799	Si-I/0.001090	Sy-B/0.000061	Sy-I/0.000011	Tr-B/0.000110	Tr-I/0.000036
高	CHN	O/0.549768	Bo-B/0.000037	Bo-I/0.000004	Ch-B/0.000032	Ch-I/0.000016	O/0.549768	Si-B/0.446247	Si-I/0.003112	Sy-B/0.000519	Sy-I/0.000007	Tr-B/0.000229	Tr-I/0.000029
血	CHN	O/0.543948	Bo-B/0.000212	Bo-I/0.000026	Ch-B/0.003091	Ch-I/0.000032	O/0.543948	Si-B/0.001244	Si-I/0.450653	Sy-B/0.000097	Sy-I/0.000421	Tr-B/0.000077	Tr-I/0.000197
压	CHN	O/0.546359	Bo-B/0.000046	Bo-I/0.000143	Ch-B/0.000106	Ch-I/0.003010	O/0.546359	Si-B/0.000006	Si-I/0.449967	Sy-B/0.000024	Sy-I/0.000096	Tr-B/0.000003	Tr-I/0.000241
病	CHN	O/0.998784	Bo-B/0.000001	Bo-I/0.000006	Ch-B/0.000000	Ch-I/0.000116	O/0.998784	Si-B/0.000001	Si-I/0.001052	Sy-B/0.000000	Sy-I/0.000016	Tr-B/0.000000	Tr-I/0.000023
