# 0.087557
原	CHN	OTHER	n-B	Si-B/0.995993	Bo-B/0.000057	Bo-I/0.000068	Ch-B/0.000139	Ch-I/0.000113	DT-B/0.000112	DT-I/0.000150	O/0.000050	Si-B/0.995993	Si-I/0.002738	Sy-B/0.000039	Sy-I/0.000032	Tr-B/0.000150	Tr-I/0.000060	unct-B/0.000136	unct-I/0.000162
发	CHN	OTHER	n-I	Si-I/0.999572	Bo-B/0.000000	Bo-I/0.000019	Ch-B/0.000000	Ch-I/0.000073	DT-B/0.000002	DT-I/0.000047	O/0.000052	Si-B/0.000072	Si-I/0.999572	Sy-B/0.000001	Sy-I/0.000035	Tr-B/0.000003	Tr-I/0.000045	unct-B/0.000001	unct-I/0.000078
性	CHN	OTHER	n-I	Si-I/0.999712	Bo-B/0.000000	Bo-I/0.000006	Ch-B/0.000001	Ch-I/0.000032	DT-B/0.000000	DT-I/0.000022	O/0.000061	Si-B/0.000021	Si-I/0.999712	Sy-B/0.000000	Sy-I/0.000043	Tr-B/0.000001	Tr-I/0.000016	unct-B/0.000001	unct-I/0.000084
胆	CHN	PART_UNIT	n-B	Si-I/0.999186	Bo-B/0.000002	Bo-I/0.000018	Ch-B/0.000010	Ch-I/0.000066	DT-B/0.000001	DT-I/0.000015	O/0.000007	Si-B/0.000476	Si-I/0.999186	Sy-B/0.000071	Sy-I/0.000075	Tr-B/0.000002	Tr-I/0.000010	unct-B/0.000011	unct-I/0.000050
汁	CHN	OTHER	n-I	Si-I/0.999524	Bo-B/0.000000	Bo-I/0.000006	Ch-B/0.000000	Ch-I/0.000113	DT-B/0.000000	DT-I/0.000010	O/0.000005	Si-B/0.000014	Si-I/0.999524	Sy-B/0.000000	Sy-I/0.000276	Tr-B/0.000001	Tr-I/0.000011	unct-B/0.000001	unct-I/0.000038
性	CHN	OTHER	n-B	Si-I/0.998717	Bo-B/0.000003	Bo-I/0.000038	Ch-B/0.000047	Ch-I/0.000182	DT-B/0.000003	DT-I/0.000126	O/0.000044	Si-B/0.000258	Si-I/0.998717	Sy-B/0.000011	Sy-I/0.000355	Tr-B/0.000008	Tr-I/0.000029	unct-B/0.000010	unct-I/0.000169
肝	CHN	PART_UNIT	n-B	Si-I/0.998038	Bo-B/0.000004	Bo-I/0.000025	Ch-B/0.000336	Ch-I/0.000442	DT-B/0.000001	DT-I/0.000045	O/0.000006	Si-B/0.000436	Si-I/0.998038	Sy-B/0.000013	Sy-I/0.000424	Tr-B/0.000011	Tr-I/0.000026	unct-B/0.000031	unct-I/0.000163
硬	CHN	OTHER	n-I	Si-I/0.997308	Bo-B/0.000001	Bo-I/0.000021	Ch-B/0.000007	Ch-I/0.001581	DT-B/0.000002	DT-I/0.000080	O/0.000016	Si-B/0.000020	Si-I/0.997308	Sy-B/0.000001	Sy-I/0.000522	Tr-B/0.000017	Tr-I/0.000216	unct-B/0.000001	unct-I/0.000207
化	CHN	OTHER	n-I	Si-I/0.994612	Bo-B/0.000003	Bo-I/0.000116	Ch-B/0.000006	Ch-I/0.002733	DT-B/0.000014	DT-I/0.000644	O/0.000079	Si-B/0.000001	Si-I/0.994612	Sy-B/0.000003	Sy-I/0.000615	Tr-B/0.000011	Tr-I/0.000852	unct-B/0.000006	unct-I/0.000304
;	PUNC	OTHER	x-B	O/0.986961	Bo-B/0.000029	Bo-I/0.000140	Ch-B/0.000133	Ch-I/0.000056	DT-B/0.000076	DT-I/0.000143	O/0.986961	Si-B/0.000058	Si-I/0.011381	Sy-B/0.000048	Sy-I/0.000031	Tr-B/0.000059	Tr-I/0.000099	unct-B/0.000050	unct-I/0.000737
2	NUM	OTHER	m-B	Si-B/0.983501	Bo-B/0.000136	Bo-I/0.000024	Ch-B/0.000504	Ch-I/0.000003	DT-B/0.000714	DT-I/0.000022	O/0.004681	Si-B/0.983501	Si-I/0.010061	Sy-B/0.000050	Sy-I/0.000002	Tr-B/0.000190	Tr-I/0.000004	unct-B/0.000078	unct-I/0.000030
级	CHN	OTHER	q-B	Si-I/0.995570	Bo-B/0.000009	Bo-I/0.000048	Ch-B/0.000014	Ch-I/0.000057	DT-B/0.000039	DT-I/0.000117	O/0.002715	Si-B/0.001316	Si-I/0.995570	Sy-B/0.000028	Sy-I/0.000007	Tr-B/0.000034	Tr-I/0.000017	unct-B/0.000016	unct-I/0.000012
高	CHN	SYM_UNIT	n-B	Si-I/0.990509	Bo-B/0.000002	Bo-I/0.000009	Ch-B/0.000005	Ch-I/0.000007	DT-B/0.000003	DT-I/0.000037	O/0.000214	Si-B/0.009170	Si-I/0.990509	Sy-B/0.000002	Sy-I/0.000005	Tr-B/0.000004	Tr-I/0.000005	unct-B/0.000003	unct-I/0.000025
血	CHN	OTHER	n-I	Si-I/0.999751	Bo-B/0.000000	Bo-I/0.000002	Ch-B/0.000001	Ch-I/0.000010	DT-B/0.000000	DT-I/0.000005	O/0.000036	Si-B/0.000185	Si-I/0.999751	Sy-B/0.000000	Sy-I/0.000002	Tr-B/0.000001	Tr-I/0.000004	unct-B/0.000000	unct-I/0.000004
压	CHN	OTHER	n-I	Si-I/0.999874	Bo-B/0.000000	Bo-I/0.000001	Ch-B/0.000000	Ch-I/0.000048	DT-B/0.000000	DT-I/0.000010	O/0.000041	Si-B/0.000002	Si-I/0.999874	Sy-B/0.000000	Sy-I/0.000003	Tr-B/0.000001	Tr-I/0.000013	unct-B/0.000000	unct-I/0.000006
病	CHN	OTHER	n-I	Si-I/0.999050	Bo-B/0.000001	Bo-I/0.000031	Ch-B/0.000001	Ch-I/0.000194	DT-B/0.000003	DT-I/0.000075	O/0.000403	Si-B/0.000000	Si-I/0.999050	Sy-B/0.000000	Sy-I/0.000031	Tr-B/0.000001	Tr-I/0.000157	unct-B/0.000002	unct-I/0.000052
(	PUNC	OTHER	x-B	O/0.998054	Bo-B/0.000007	Bo-I/0.000027	Ch-B/0.000014	Ch-I/0.000008	DT-B/0.000033	DT-I/0.000023	O/0.998054	Si-B/0.000007	Si-I/0.001531	Sy-B/0.000011	Sy-I/0.000001	Tr-B/0.000026	Tr-I/0.000011	unct-B/0.000013	unct-I/0.000235
